Epoch [100/1000], Loss: 699.8109
Epoch [200/1000], Loss: 463.8294
Epoch [300/1000], Loss: 457.0866
Epoch [400/1000], Loss: 455.1003
Epoch [500/1000], Loss: 453.5448
Epoch [600/1000], Loss: 452.2081
Epoch [700/1000], Loss: 451.0262
Epoch [800/1000], Loss: 449.9658
Epoch [900/1000], Loss: 449.0065
2024-01-23 15:12:03 - INFO - PyTorch LR: learning_rate=0.01, epochs=1000 (SYS from 34 Median PPG Features)
					  MSE: 444.4879, RMSE: 21.0829, MAE: 16.001, R^2: 0.171, Bias: -0.158, LoA: (-41.486, 41.170)
Epoch [1000/1000], Loss: 448.1339
